ID,ID2,GMT_DATE,StudySite,Site,Year,Stage,julian,primeRdRast,SecondRdRast,Open,Decid,Water,Pine,Mix,Shrub,dist_edge,Dist_Access,Dist_Private,total_dist,mean_dist,mean_speed,roost_dist,age,Age,Year_Status,sur,Status,Death,Death_Date,Area50,Area99,dist_core
9518,,5/8/2022,GA,CC,2022,Hunt,,545.2754691,215.1649753,330.704427,56.2481424,1155.427151,14.78470243,63.27028579,273.0602468,280.0664394,485.5391709,441.6412776,5697.50349,135.654845,379.833566,772.8448976,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/9/2022,GA,CC,2022,Hunt,,797.0083903,166.8426184,182.7443275,56.94737488,1370.770085,20.76525336,57.8001279,170.4757895,225.1702862,727.3856444,169.4059639,3497.412107,77.72026904,233.1608071,375.2444083,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/10/2022,GA,CC,2022,Hunt,,696.7681519,119.190344,207.8062646,38.0901033,984.5165353,22.11418258,70.58396264,148.9896346,80.85048836,675.5415358,87.37061048,3487.295112,77.49544693,232.4863408,140.9272064,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/11/2022,GA,CC,2022,Hunt,,408.1729365,152.3919806,195.3498705,38.2887785,1658.883824,23.46969093,57.07261545,117.6973503,94.21365398,380.2673244,100.8819931,4081.488297,92.76109766,272.0992198,358.0797329,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/12/2022,GA,CC,2022,Hunt,,212.8743928,96.26766335,152.5078751,27.23891347,1745.098617,18.39614468,49.64202849,98.51734997,48.68897594,191.7549985,37.50999347,2264.269084,52.65742057,150.9512723,159.2862109,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/13/2022,GA,CC,2022,Hunt,,505.0251247,118.9597176,172.2678274,57.66807943,1487.965724,10.41823948,77.25127686,116.3392816,66.41024284,467.3423404,56.59791774,4163.243924,86.73424842,277.5495949,382.0156149,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/14/2022,GA,CC,2022,Hunt,,359.4459793,238.9939253,244.2410453,32.8574157,1928.605546,20.62064061,42.3266203,202.2050444,166.5516603,338.5401247,181.094825,3108.40656,94.19413819,207.227104,14.35091523,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/15/2022,GA,CC,2022,Hunt,,685.5018494,169.7969847,149.2294587,83.79021289,1455.404987,11.8944943,106.2646993,124.1145179,75.27203263,626.2372324,18.31349727,2712.305015,90.41016718,180.8203344,259.7134796,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/16/2022,GA,CC,2022,Post_Hunt,,598.2551364,176.0677502,192.3367932,31.31026684,898.7001024,33.84186977,43.38975304,178.121173,140.9994851,575.3637586,187.4334608,4671.159459,93.42318918,311.4106306,289.2276657,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/17/2022,GA,CC,2022,Post_Hunt,,687.0578821,122.2004656,165.2280896,52.0343148,1018.388897,14.45335076,49.62309691,136.2035871,158.2431954,640.082878,147.7293098,3935.201947,89.4364079,262.3467965,126.3783617,2,A,Live,,Live,Live,,NA,NA,NA
9518,,5/18/2022,GA,CC,2022,Post_Hunt,,412.1601444,151.3619999,176.8878818,29.89552593,1615.75339,22.8770523,46.65556343,152.8709234,104.5020514,388.1451219,78.17062597,4459.548139,106.1797176,297.3032093,412.9327449,2,A,Live,,Live,Live,,NA,NA,NA
